paper,pose,angle,bx,act,phi,currentBoxArea,candidateTipArea,candidateArmArea
0.2,0.13,108.492090346835,-33,0,155,0,0,0
0.2,0.131,108.77516002506285,-33,0,155,0,0,0
0.2,0.132,109.05822970329066,-33,0,155,0,0,0
0.2,0.133,109.3412993815185,-33,0,155,0,0,0
0.2,0.134,109.62436905974633,-33,0,155,0,0,0
0.2,0.135,109.90743873797416,-33,0,155,0,0,0
0.2,0.136,110.19050841620201,-33,0,155,0,0,0
0.2,0.137,110.47357809442983,-33,0,155,0,0,0
0.2,0.138,110.75664777265767,-33,0,155,0,0,0
0.2,0.139,111.03971745088549,-33,0,155,0,0,0
0.2,0.14,111.32278712911334,-33,0,155,0,0,0
0.2,0.141,111.60585680734114,-33,0,155,0,0,0
0.2,0.142,111.88892648556899,-33,0,155,0,0,0
0.2,0.143,112.17199616379682,-33,0,155,0,0,0
0.2,0.144,112.45506584202465,-33,0,155,0,0,0
0.2,0.145,112.7381355202525,-33,0,155,0,0,0
0.2,0.146,113.02120519848033,-33,0,155,0,0,0
0.2,0.147,113.30427487670816,-33,0,155,0,0,0
0.2,0.148,113.587344554936,-33,0,155,0,0,0
0.2,0.149,113.87041423316381,-33,0,155,0,0,0
0.2,0.15,114.15348391139165,-33,0,155,0,0,0
0.2,0.151,114.43655358961949,-33,0,155,0,0,0
0.2,0.152,114.71962326784733,-33,0,155,0,0,0
0.2,0.153,115.00269294607516,-33,0,155,0,0,0
0.2,0.154,115.28576262430298,-33,0,155,0,0,0
0.2,0.155,115.56883230253082,-33,0,155,0,0,0
0.2,0.156,115.85190198075865,-33,0,155,0,0,0
0.2,0.157,116.13497165898649,-33,0,155,0,0,0
0.2,0.158,116.41804133721432,-33,0,155,0,0,0
0.2,0.159,116.70111101544217,-33,0,155,0,0,0
0.2,0.16,116.98418069366998,-33,0,155,0,0,0
0.2,0.161,117.26725037189783,-33,0,155,0,0,0
0.2,0.162,117.55032005012565,-33,0,155,0,0,0
0.2,0.163,117.8333897283535,-33,0,155,0,0,0
0.2,0.164,118.11645940658133,-33,0,155,0,0,0
0.2,0.165,118.39952908480917,-33,0,155,0,0,0
0.2,0.166,118.68259876303699,-33,0,155,0,0,0
0.2,0.167,118.96566844126482,-33,0,155,0,0,0
0.2,0.168,119.24873811949266,-33,0,155,0,0,0
0.2,0.169,119.53180779772049,-33,0,155,0,0,0
0.2,0.17,119.81487747594834,-33,0,155,0,0,0
0.2,0.171,120.09794715417615,-33,0,155,0,0,0
0.2,0.172,120.38101683240399,-33,0,155,0,0,0
0.2,0.173,120.66408651063182,-33,0,155,0,0,0
0.2,0.174,120.94715618885965,-33,0,155,0,0,0
0.2,0.175,121.2302258670875,-33,0,155,0,0,0
0.2,0.176,121.51329554531532,-33,0,155,0,0,0
0.2,0.177,121.79636522354316,-33,0,155,0,0,0
0.2,0.178,122.07943490177098,-33,0,155,0,0,0
0.2,0.179,122.36250457999883,-33,0,155,0,0,0
0.2,0.18,122.64557425822666,-33,0,155,0,0,0
0.2,0.181,122.92864393645448,-33,0,155,0,0,0
0.2,0.182,123.21171361468232,-33,0,155,0,0,0
0.2,0.183,123.49478329291014,-33,0,155,0,0,0
0.2,0.184,123.77785297113799,-33,0,155,0,0,0
0.2,0.185,124.06092264936582,-33,0,155,0,0,0
0.2,0.186,124.34399232759365,-33,0,155,0,0,0
0.2,0.187,124.62706200582149,-33,0,155,0,0,0
0.2,0.188,124.91013168404933,-33,0,155,0,0,0
0.2,0.189,125.19320136227715,-33,0,155,0,0,0
0.2,0.19,125.476271040505,-33,0,155,0,0,0
